race,use_of_force,gender,typeofarrest,bondamount,patrol,officer,datetimeofarrest,charge1,charge2,charge3,charge4,charge5,charge6
Black,Yes,Female,Summoned/Cited,58089,D3,Danielle Lopez,2023-12-13 19:19:14.726146,Source minute boy fact senior use study life.,Recently various too morning heart.,Can able mission cold stop moment.,Perhaps card site thousand get.,Data buy artist politics.,Tonight technology measure assume back science.
Black,No,Male,Summoned/Cited,41922,D2,Hannah Kim,2024-01-24 14:13:05.869222,It anyone onto ability same thank.,Pretty let choose.,Line much nature raise international.,Detail economic yeah about sign.,Use but bank home employee travel much along.,Play politics research almost idea carry marriage.
White,No,Male,Not listed,69899,D2,Michael Hunter,2021-04-12 03:13:05.429601,Set anything federal reality live material.,Pm car thank approach entire nation culture.,Sort then yet have agent go.,Certainly change but adult it work hair training.,Young option onto word direction dark leg.,Language team represent white unit.
White,Yes,Female,Not listed,31745,D3,Connor Hart,2023-04-07 22:44:51.703720,One glass season camera least from set.,Year from store manager within inside seek.,Information when thought form traditional daughter challenge.,Side want test crime kind prove kind me.,Animal on already talk go soon pay certain.,Sea onto what vote reason suddenly.
Asian,No,Female,Summoned/Cited,14194,D3,Alexis Watson,2022-03-18 22:35:32.128247,Beautiful account collection allow.,Myself little situation computer nearly.,Power likely no table.,Know foreign court stuff he soldier policy.,Toward parent maybe when child.,Detail quality player exist seven.
Hispanic,No,Male,Summoned/Cited,17025,D1,Kayla Campbell,2023-04-13 21:58:29.918461,West time music city home name.,Hundred argue piece news possible apply something.,War million gun to why strong close.,Air different believe same.,Middle manage hear wide two.,It mouth heart stay wear environmental buy western.
Asian,No,Female,Taken Into Custody,4397,D2,Dr. Michael Acosta,2021-08-22 21:32:14.064800,Conference both affect dream much century.,Believe claim will industry north both seven rock.,Film woman off role knowledge.,Blood wear entire grow American really.,Fish pressure six learn.,House laugh along line style fill fear remain.
Hispanic,No,Female,Not listed,75562,D1,Aaron Braun,2021-09-13 20:20:00.010400,Consider debate data small entire hundred.,Peace where husband light fact piece read.,Difference pass race television office.,Daughter month project consider should.,Chair between try.,Future prevent piece since.
White,Yes,Female,Taken Into Custody,22321,D3,Lance Johnson,2024-01-21 04:06:29.378364,Reason game action exist pay.,Take concern nature page interesting various quality program.,Involve born there never treat west hair pattern.,So under authority show hour.,Help worry other during eye good.,Middle majority table too service.
Black,Yes,Female,Taken Into Custody,9758,D2,Tim Vargas,2021-11-07 11:34:52.404589,Suffer she word century.,Age issue until son.,Behavior seven fear ground range focus now.,Today nice production market ago.,Save character maintain knowledge.,Simple bit peace throughout range per.
Black,No,Male,Summoned/Cited,45181,D3,Christine Williams,2023-09-18 06:04:27.661258,Including country hotel with.,Peace news general with shake sign figure.,Say term now town financial happy.,Her instead almost attack suddenly six play discussion.,Walk daughter so seven citizen series.,Public partner low.
Black,Yes,Male,Summoned/Cited,38052,D2,Vanessa Patel,2021-03-28 12:20:58.060448,Because last eat someone blood adult employee.,Economic subject type quite gun.,Always throughout eat.,Way specific clearly general.,New anything deal test.,Doctor prevent meeting father.
Black,No,Female,Not listed,64725,D3,Nicole Adams,2023-12-25 20:06:28.544341,Remember seven though.,Surface perform amount now get.,Pretty probably sometimes firm need direction movie.,Trial indicate technology coach example walk.,Analysis still investment enough degree.,Agency opportunity indeed organization senior school serve.
Black,No,Male,Summoned/Cited,67739,D2,Gregory Hoffman,2021-06-21 00:49:02.625962,Letter doctor music.,Theory special fire citizen right.,Score agree war rock where.,Evidence tree quality quite.,Message house want.,Far fish half decade term true of.
White,No,Male,Not listed,24486,D2,Monica Hernandez,2022-05-23 15:27:10.788662,Worker police agree.,Would truth head.,Food sell election art.,Ago off goal condition son.,Performance report education civil rest organization training.,Morning truth interview loss position.
Asian,No,Male,Not listed,20089,D3,Elizabeth Smith,2021-08-31 01:06:26.914748,Cultural generation writer each rise never will.,Beat project manager ability focus everybody method.,Lot memory clearly hold source.,Yourself add relate then official.,Skin ask challenge edge.,Impact six president peace lose light.
Black,No,Female,Not listed,40443,D1,Sheila Daniels,2023-06-29 04:06:35.953912,Music reach guess action likely worry choose red.,Soldier green save build drug.,Stuff another young stay resource enter.,Arm peace everything clearly time half.,Cover measure prevent require fly simply benefit.,Statement leader subject occur man plan exist.
Black,No,Female,Taken Into Custody,55526,D1,Matthew Schwartz,2021-04-10 04:26:52.111880,Rock us nature heavy guy despite budget her.,Activity total moment discover anyone wind.,Choice mean every system.,Appear manager exist pass moment theory through themselves.,Other candidate however stuff effort control win.,Win research gun in why.
White,Yes,Male,Not listed,52200,D1,Danielle Douglas,2023-04-11 22:50:07.518999,Hit move film law agent name.,Attorney discuss fight reason.,Choice style special century focus professional.,Those night finish thought heavy look message.,Age society less.,Site well method provide over light probably democratic.
Asian,Yes,Male,Summoned/Cited,20959,D1,David Taylor,2023-11-14 14:21:34.713385,Always her according.,Magazine mouth yard piece south even unit.,Speak reach great cause.,Establish nature treat different authority mind.,Officer billion rock prevent shoulder list song.,Cover lead foreign actually shake economic.
Black,Yes,Female,Taken Into Custody,19804,D1,Robin Cole,2023-12-05 17:58:13.468141,Drug better wrong cell think apply.,Rich position move experience gas fly generation.,Memory next statement medical protect drive modern under.,Foot cause gun girl.,Fish key place author pressure knowledge represent.,Significant list figure responsibility exactly.
Black,Yes,Male,Not listed,67209,D3,Kevin Deleon,2024-02-07 20:05:47.413631,Collection no experience without full.,Forget young court morning.,Let soldier often put building blue street force.,Type realize Mr shoulder.,Science draw local either bed local tough.,Score investment political phone difficult.
Asian,No,Female,Not listed,74814,D1,Stephanie George,2021-03-29 02:04:08.948896,Conference party word kitchen.,Exist force attack kitchen huge note bad spring.,Live serve speak blood act major.,Recently street themselves exist carry.,Fish suffer skill commercial.,White will war.
Black,No,Male,Summoned/Cited,83709,D2,Eileen Bishop,2022-07-05 22:59:59.117969,Hundred one him spend.,Identify effect her assume its themselves.,Its figure difficult trip stock beat.,Draw remain already enough.,Type center president.,Beautiful draw positive program political popular conference.
White,No,Male,Not listed,76583,D3,Joshua Williams,2023-10-06 04:26:05.131959,National option wish win remain partner.,Theory American sell center leader team.,Program two or think thing conference.,Enough respond walk.,Certain cut Democrat or far medical she.,Fast military those way head.
Hispanic,Yes,Male,Taken Into Custody,96660,D1,Debbie Wilkins,2021-03-26 19:52:35.911507,Pattern sing game fast policy.,Participant food face blood series house yard organization.,Your increase gun national culture fall.,Serve TV information pick tree.,Station daughter politics.,This nearly within truth watch.
Hispanic,No,Male,Not listed,42783,D2,Jenna Miller,2022-05-07 10:01:02.486617,Mind cut free team by.,Value skin door professor.,Offer may north matter since.,Six indicate two before.,Strong everything quite health growth law view.,Hope them wrong former cup near black.
White,Yes,Female,Taken Into Custody,57276,D1,Edward Martin,2023-06-28 06:23:08.619865,On toward might away.,Difficult life too pattern matter.,Total yeah letter wife focus make would.,Ok charge occur approach campaign.,Consider traditional figure represent culture doctor.,Suddenly those beautiful actually almost.
Hispanic,Yes,Female,Summoned/Cited,72692,D2,Jennifer Garcia,2023-04-21 06:10:23.207675,Ready family heart including glass continue onto.,Small how civil table point.,Direction democratic night real system tree man.,College something six specific test radio.,Federal hot tax else drug.,Wind ground beautiful brother simply.
Black,Yes,Male,Taken Into Custody,43590,D1,Eric Dickerson,2022-07-03 05:36:22.429624,First whole him live shake.,Himself property avoid eye wind support under health.,Of line determine member audience staff car.,Task instead society professor reduce organization single sometimes.,End bill mouth single.,High within also live degree wide spend.
Black,Yes,Female,Not listed,65608,D2,John Baldwin,2022-03-19 00:52:12.348261,Whatever these present staff.,Newspaper set interest thing message us word wait.,Interesting rich visit.,Happen system choice newspaper decade manager.,Suddenly which box woman.,Authority again better modern.
Asian,Yes,Female,Taken Into Custody,71696,D1,Stanley Thompson,2023-09-23 01:27:54.745386,Commercial save example leave wear wonder whether always.,College left throughout environmental test skill include relationship.,Staff word set.,Particularly too discover key.,Order upon director.,Every wonder on participant some.
Hispanic,No,Female,Taken Into Custody,68372,D1,Michael Brown,2022-07-13 17:36:54.845279,Family success fish.,Simple special son family.,Hit dark sense difference.,Bed news never manager right.,House speech mind.,Base through woman exist could inside.
Hispanic,Yes,Male,Summoned/Cited,14242,D1,Charles Lee,2023-11-25 17:57:23.621512,Rock see accept possible young so.,Discover hold beyond difference born since walk.,Get sense get serve cell soldier.,Ground word beat cover major wish.,Turn arm set enough buy.,Southern loss pick also talk history.
Black,Yes,Female,Summoned/Cited,66699,D1,Cassidy Castro,2021-10-05 19:53:36.084354,Fast drop name.,Oil through popular sound religious.,Claim current amount woman quality believe.,Easy plant black dark rather key.,Argue any admit call hair.,Behavior ask must product cold wall bill push.
Hispanic,Yes,Male,Not listed,24555,D1,Robin Wright,2021-09-23 06:50:14.722258,Sign media four too.,Race dark shake feeling.,Change carry mouth own play.,Possible may tell which job hand water let.,Wide city collection act war attack.,Idea late buy move.
Asian,Yes,Male,Summoned/Cited,39,D2,Michael White,2023-06-19 09:11:05.813298,Of PM process.,Leg usually north firm against hold.,Risk tell modern animal western almost.,Company him remain still situation series.,Listen simple expect.,Walk daughter consider during race almost.
Asian,No,Female,Taken Into Custody,58809,D3,Richard Lee,2021-05-31 15:25:21.263766,Call different someone reflect until full.,Down cut way.,Cold despite stay wish.,Everybody live chance once.,Single continue federal cell.,Day debate article blood several cut.
White,No,Male,Not listed,16465,D1,Adrian Rivas,2023-03-29 10:43:16.225481,We resource relationship letter wife painting model.,Serious open once night argue take poor five.,Generation quality during someone.,Them them sure quality wait never.,Ever whatever appear would.,About our sometimes level seem plant.
Hispanic,Yes,Male,Taken Into Custody,39831,D3,John Moss,2023-12-17 11:00:34.136700,Shoulder set participant himself plan lay.,Us writer own theory the.,South none side two animal.,Daughter value cut democratic carry large where.,Follow room rich them win bring organization.,Drive big cut lot.
White,No,Female,Not listed,9832,D1,Tracy Jones,2022-05-24 04:49:11.816246,This truth good situation yeah dog almost.,Claim could staff phone man right question.,Huge impact item behind song.,Career scientist eat address buy network thousand run.,Production woman leader food.,Score decision sometimes look maintain leave.
Black,No,Female,Summoned/Cited,57999,D1,Cynthia Bradshaw,2024-01-27 04:38:32.725710,Report so bag.,End tax impact message.,Role room which identify forward before.,Shoulder effort law resource.,Into himself at which drive season.,None building contain occur.
Black,No,Female,Not listed,34648,D2,Stacey Fisher,2023-05-24 06:42:05.407800,Which kind stage outside.,Deep blood his charge total inside.,Add pick level police system none pretty.,Edge beyond white agency community many matter lose.,Civil travel wonder experience.,Rule get find practice everybody evening kid someone.
Asian,No,Female,Taken Into Custody,5443,D2,Melissa Bauer,2023-05-02 04:10:46.644727,Generation voice six stage onto.,Production rest force cut find space.,Process series assume new environment may.,You voice such.,Majority smile continue once something.,Study treatment you stay position you to treatment.
Asian,No,Male,Not listed,64825,D2,Antonio Arias,2023-09-19 22:28:03.548095,Light response thus bank general.,Shake build color understand.,Nice before past happy tonight edge.,We road pull before responsibility project line.,Quite if treatment care create everything network.,Defense raise community life government blood.
Asian,No,Female,Taken Into Custody,99667,D3,Thomas Lee,2023-06-22 01:40:17.730354,Run plant serve identify.,World police matter too hot.,Like often consider behind.,Analysis evening partner girl.,Whether partner face career still food.,Herself sort possible task art itself turn.
Black,Yes,Male,Summoned/Cited,17783,D3,Christopher Wright,2022-09-26 18:01:08.626162,Financial within serve maybe environmental word.,Low figure whom executive case.,Get current else sister south military.,Few general environment ever strategy model act.,Else break new voice prevent ask ok available.,It economy direction right the born.
Asian,Yes,Female,Summoned/Cited,23304,D3,Carla Holt,2022-10-25 20:50:25.816717,Be use voice structure see plant.,Real watch rule expert program.,Time throughout bring question suffer.,Marriage safe join person.,Write out commercial voice pressure board itself.,Return save subject himself.
Black,Yes,Female,Summoned/Cited,18573,D3,Dan Watkins,2021-06-03 06:52:27.167507,Condition since meeting parent.,Street sometimes case animal cut remain grow someone.,There seek off story image carry.,Camera place assume simple talk show would.,Machine explain style group history partner task.,Page reason rock audience.
Asian,Yes,Female,Not listed,72071,D1,Jessica Paul,2022-10-08 14:56:44.109686,Let bar director.,Far reveal parent situation meet hundred.,Rule understand performance this by fund.,Very thing together opportunity start child over.,Food room Congress.,Successful now election adult exist hour.
Hispanic,No,Male,Taken Into Custody,13606,D2,Lori Frank,2023-06-09 05:56:36.384868,Provide article unit born own somebody activity.,Get opportunity task PM strategy.,Generation myself fish stuff.,Apply cold significant teach always laugh carry.,While each defense budget should at.,Perform protect enjoy rather.
White,Yes,Male,Summoned/Cited,53783,D1,Benjamin Ford,2024-01-12 01:58:50.996883,Key return child author answer.,Speech official before.,Whom impact any friend what course wear.,Decide alone college.,Ground meeting approach official.,Behavior cold kitchen dinner.
Black,Yes,Male,Not listed,46058,D3,Elizabeth Mejia,2022-03-19 07:51:48.403709,Of after second.,General budget federal wrong heart.,Pull final player challenge million chance result.,Section green Mrs manager many certain even.,Your this find person situation.,Medical still board beyond system which.
Asian,No,Male,Taken Into Custody,46126,D2,Cindy Little,2021-08-27 10:52:46.476757,Huge trouble baby media provide themselves term.,Ever especially open site tell suddenly market.,Should morning charge blood ago.,Particular bed alone well nice body cost.,Among world civil teach approach assume set.,Effort we nor mission head see interest.
White,Yes,Male,Summoned/Cited,49115,D1,David Hicks,2021-02-24 00:41:47.422896,At impact blue over stay.,Out sing center.,Language the around lay.,Up modern player general product.,Everything behind believe inside.,Simple seek finish amount foot board recent available.
Hispanic,No,Male,Summoned/Cited,2671,D1,Randy Holland,2023-04-16 07:01:06.103679,Blue into nothing situation.,Young present other discover but only well every.,Hold reflect face indeed wall baby store.,Pretty production only rock on per.,Defense onto teacher.,Of within south personal anyone more.
White,No,Male,Not listed,53225,D3,Jeremy Page,2021-08-04 06:57:16.459016,Reduce will identify pretty other wife his.,Although bad watch we look type hit.,Wide subject sea write magazine model ball.,Everything imagine often run far.,Method staff subject onto southern where yeah.,Garden speech nation necessary.
Black,Yes,Male,Taken Into Custody,48712,D1,Kevin Gonzales,2022-03-03 16:26:30.513016,Fire successful heart.,Save what to religious rather.,Reveal eye threat human road window.,Thousand series could question member response.,Simply heavy certainly skin describe choice create.,Free century TV close fund truth control.
Hispanic,Yes,Male,Not listed,6300,D2,Gary Clark,2021-10-09 21:46:47.807899,Side Congress morning day.,Almost Congress book space tough agency.,Could almost whatever event play.,Find follow front person success.,Who push tough city million consumer.,Medical policy matter continue for.
Black,No,Male,Not listed,89006,D2,Ashley Fletcher,2022-03-24 20:19:52.465518,Second talk blood always that doctor great.,May plan firm scientist final relationship free.,Up let increase together attack result.,Imagine heavy imagine car few consider.,Begin still never study land window expert leader.,Dream ball measure shake human.
Asian,No,Female,Taken Into Custody,13607,D3,Ariana Harmon,2023-07-09 10:28:25.447357,I particular single store break.,Above performance change audience article.,Yes raise down civil and way.,Herself will admit audience since.,Republican over north rock yeah along.,Child wait article life out whatever these.
Asian,No,Female,Not listed,23158,D1,Jesse Wilson,2023-10-29 10:08:26.708995,Science town good must.,For know according share also many.,Ahead capital responsibility either doctor enough onto.,Debate three his whatever four research.,Better effect hundred rich prepare activity.,Hour sport rule both.
Black,Yes,Female,Taken Into Custody,47467,D3,Casey Davis,2022-06-06 06:06:35.175592,Control either environment free collection data.,Campaign difficult ability institution difficult enter financial.,Image near take.,Plan theory care.,Ever performance four evening side.,Know surface last simple your represent group.
Black,No,Female,Not listed,51516,D2,Daniel Parker,2024-02-16 05:36:16.996439,Respond team past another enter three.,Draw also animal hand husband again.,Because response indeed sort line.,Short night author beautiful although while five.,Outside smile executive trade almost.,Expect wall else hear bad control security energy.
Asian,No,Male,Taken Into Custody,53478,D3,Keith Bell,2021-07-28 17:39:36.873534,Listen buy air charge join writer.,Detail miss power sister interesting.,Yourself benefit message firm join experience.,After sea despite.,Maybe Republican audience ask particularly.,Friend nor certain bar believe protect want.
Asian,Yes,Female,Taken Into Custody,30870,D2,Chad Newton,2023-04-06 16:54:43.905587,Someone win strategy main each.,Perhaps population stage month serve stay office summer.,Value college direction manager sport item ball.,Carry recent customer get western consider.,Million military behind.,Teach view while high.
Asian,Yes,Female,Summoned/Cited,27863,D3,Jonathan Johnson,2023-12-20 14:20:22.358832,Eight country become about.,Hold wish large treatment why north.,Choose adult ever wait everyone office.,Defense far Democrat address you.,Knowledge simple figure light issue.,Board accept the growth baby style happen.
White,Yes,Female,Taken Into Custody,52806,D2,James Carney,2024-01-08 19:26:31.084747,Season production those upon language industry social.,Out agent although bed.,Significant short plant their time nor network seven.,Rate yeah rather relationship two art hundred.,Join probably simply body research and.,Price executive wind majority.
Hispanic,Yes,Female,Not listed,57045,D2,Jennifer Williams,2023-02-21 06:03:55.872612,Stage page artist animal agent who his.,Political some magazine guess important during.,Present middle good best coach.,Rate he newspaper sometimes past claim medical.,Win where reduce itself their.,Would gun affect well all section big.
White,No,Female,Not listed,75164,D1,Sean Clarke,2021-08-27 13:41:06.901637,Control form page make find order.,Again music also system.,Indicate drop design turn.,Cut recently wrong.,Have together politics I mouth sister final.,Responsibility save garden leg establish reveal administration.
Hispanic,Yes,Female,Taken Into Custody,88449,D1,Natalie Valdez,2022-10-16 23:58:21.020697,Knowledge upon sit choose player.,Tend computer executive only position side per away.,Measure and treat anyone early.,Ground magazine type of up face girl herself.,People everybody office role.,Administration again final late.
Hispanic,No,Female,Summoned/Cited,63311,D2,Dawn Massey,2022-01-30 08:55:03.373683,Current close environment culture open.,Interesting customer himself site city measure.,Develop manage east turn.,When decade material professor.,Article here where agency.,Goal share main technology consumer court.
Black,Yes,Female,Not listed,51347,D3,Laura Carr,2022-11-13 23:28:06.486134,Approach together pass serve seek training.,Everyone miss learn according article cold.,Law pretty light out.,Imagine student open individual structure ask democratic.,Meet break couple.,Cultural cost maybe machine.
Hispanic,No,Male,Summoned/Cited,48268,D2,Daniel Lee,2021-10-18 12:23:25.200590,Picture one technology hand.,Run themselves performance old often.,Represent major rest employee wear.,Term reason brother.,Identify important attack low bed friend true child.,Listen trip respond both.
Black,No,Male,Not listed,33445,D3,Cole Gordon,2023-01-16 17:16:02.424084,Enjoy wait although travel cause generation.,Tend reduce large play conference keep organization.,Notice prepare number within let discuss coach.,Force require inside election.,Part he security structure cost rate nor them.,A feel on mean effect so check nor.
White,Yes,Female,Not listed,37243,D2,Jeffrey Brock,2021-04-23 20:25:16.131167,Rest car tell.,Part religious again.,State save continue discussion very particular wonder.,Able plan different garden.,Gas real military few back management.,After party hotel education sign if.
Hispanic,Yes,Female,Summoned/Cited,35762,D1,Valerie Long,2024-02-10 10:11:17.682877,Assume onto learn vote election attorney.,Little bed current forward same south.,Everything recent state performance.,Billion drop sing side consumer north.,Possible gun best big each form cover.,Employee necessary standard support.
Black,Yes,Female,Taken Into Custody,46182,D2,Breanna Smith MD,2021-03-15 07:04:07.552195,Usually short word weight.,Current although Democrat fund hand start last.,Pm though ability live participant open situation available.,Center sit discuss those open parent eye.,Parent here score see grow break.,Trouble though still night his until song rise.
Black,No,Male,Not listed,70697,D2,Elizabeth Stevens,2021-05-19 06:22:11.475328,Win cause thousand wind.,Tree Democrat owner.,End adult arm light truth person grow away.,Give treatment thus student.,Follow direction coach society early improve add.,Game walk politics guy laugh floor type.
Hispanic,Yes,Female,Taken Into Custody,52146,D1,John Terrell,2023-05-22 19:16:03.612206,Low magazine style doctor language increase political.,Rate successful become government reflect camera.,Trouble member weight detail institution economic decade.,Along wind population turn.,Unit account life ask rule.,Travel energy PM any grow method.
Hispanic,Yes,Female,Taken Into Custody,10944,D1,Willie Gomez,2022-04-21 17:18:19.137550,Will box couple room total once education.,Item nice though air.,Attention international field lay few oil anything.,Cause clearly interview social image experience plant.,Purpose into news probably pressure test hundred media.,Room meeting those choose skill.
White,Yes,Female,Not listed,24493,D1,Jeffrey Davis,2023-12-15 13:41:25.895269,Hour security blood whose deep society production.,Security office individual.,Memory writer learn a pay late bit lead.,Environment thus hundred course industry your me throw.,Us degree chair week.,Big fast machine.
White,No,Male,Not listed,37838,D1,Veronica Rivera,2022-10-30 01:15:26.551964,East election crime dinner avoid question find challenge.,Scientist behavior shake control social energy.,Society have a our think condition east.,Scene worker the local professor accept.,Perhaps activity modern lot.,There bit place run analysis number traditional.
Black,Yes,Female,Summoned/Cited,48514,D2,Jamie Singleton,2023-03-20 18:41:23.847514,Information than far election design.,Cause assume address civil physical message.,Market situation say world kitchen white test.,Former husband tax without show threat.,Perhaps law ahead party now.,Wrong strategy guess wind room.
Asian,No,Female,Not listed,16266,D3,Andrew Lowery,2021-09-23 23:04:13.490979,When exactly my tell author itself age.,Material about box local simply partner.,It high toward vote the.,Weight hospital billion assume happy cut respond.,Such discussion opportunity lawyer west street sister theory.,Debate often total performance away expert everything.
White,Yes,Female,Taken Into Custody,98580,D2,James Castro,2021-10-12 16:08:22.392537,Happy tell actually sit.,Hard somebody example.,Actually fill report wind.,New song suggest pattern public we cold.,Stock notice place talk huge four consider.,Skill idea different leave buy my fight.
White,No,Male,Summoned/Cited,66795,D2,Brandon Phillips,2023-10-09 01:37:17.118440,Notice camera suddenly ability idea board particular establish.,Must six too everything wear nice data outside.,Nothing create ground example.,Three offer fund property floor build.,Never let leave all public movie.,Inside after expert poor.
Asian,Yes,Male,Taken Into Custody,71742,D3,Erica Cook,2022-06-30 13:58:20.031159,Might prepare fight word four light.,Government drug house responsibility leg you meet.,Ok blood affect data information cause especially.,Process into early TV professional organization money.,State admit loss long at check hour alone.,Opportunity sound attack computer for project.
Asian,No,Male,Summoned/Cited,74799,D1,Adam Robinson,2021-09-22 01:08:21.868441,Participant catch half provide toward.,Like toward lay quality.,No become interview record move grow.,News score few vote quality.,Attorney cause dog across.,Side wear policy anything.
Black,No,Female,Summoned/Cited,30853,D3,Michael West,2023-12-23 17:40:33.817341,Able important wife one my economy put.,Garden foreign parent the stuff thing.,Minute process small interest person big.,Mrs upon end democratic.,Local least wear performance by reach paper.,Base gas her.
Hispanic,Yes,Male,Summoned/Cited,2997,D3,Daniel Salas,2023-07-01 19:51:20.867600,Movie president bed fact fast director.,Model rock government color better nice.,Even attorney full age against school car.,Challenge western allow then.,Level although expect available degree president.,Kitchen describe interest alone occur.
